id,max_stack,skills,abilities,name,req_level,req_race,req_alignment,req_body_type,req_body_part,req_constitution,req_competence,req_development,req_int_gp,req_str_gp,req_dex_gp,req_tgh_gp,req_wis_gp,req_med_gp,req_sth_gp,req_per_gp,req_dodge_cp,req_block_cp,req_mma_cp,req_finesse_cp,req_crude_cp,req_archery_cp,req_firearms_cp,req_thrown_cp,req_bite_cp,req_claw_cp,req_swipe_cp,req_sting_cp,mod_ms_cap,mod_gp_cap,mod_cp_cap,mod_composure,mod_stamina,mod_ms,mod_evasion,mod_protection,mod_wrestling,mod_total_hp_incr,mod_body_phys_res,mod_body_elem_res,mod_int_gp,mod_str_gp,mod_dex_gp,mod_tgh_gp,mod_wis_gp,mod_med_gp,mod_sth_gp,mod_per_gp,mod_dodge_cp,mod_block_cp,mod_mma_cp,mod_finesse_cp,mod_crude_cp,mod_archery_cp,mod_firearms_cp,mod_thrown_cp,mod_bite_cp,mod_claw_cp,mod_swipe_cp,mod_sting_cp,mod_eq_phys_res,mod_eq_elem_res,mod_weight,mod_ease,com_base_dmg,com_dmg_var,com_dmg_type,com_range_config,com_att_rat,com_armor_pen,com_reload_cycle,com_aoe,com_block_rat,com_quick_act,com_two_hand,com_rel_cp
dodge_proficient,1,,,dodge proficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
block_proficient,1,,,block proficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
mma_proficient,1,,,mma proficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
finesse_weapons_proficient,1,,,finesseWeapons proficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
crude_weapons_proficient,1,,,crudeWeapons proficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
archery_weapons_proficient,1,,,archeryWeapons proficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
firearm_weapons_proficient,1,,,firearmWeapons proficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
thrown_weapons_proficient,1,,,thrownWeapons proficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
bite_proficient,1,,,bite proficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
claw_proficient,1,,,claw proficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
swipe_proficient,1,,,swipe proficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
sting_proficient,1,,,sting proficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
intelligent,1,,,intelligent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strong,1,,,strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dextrous,1,,,dextrous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tough,1,,,tough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wise,1,,,wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
medic,1,,,medic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stealthy,1,,,stealthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perceptive,1,,,perceptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
endurant,1,,,Endurant,,"PURIST, SAVAGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lunging,1,lunge,,Lunging,,,,,,,,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blockading,1,living_blockade,,Blockading,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
observant,1,observe,,Observant,,,,,,,,,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crafty,1,enhance,,Crafty,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
