id,max_stack,skills,abilities,name,req_level,req_race,req_alignment,req_body_type,req_body_part,req_constitution,req_competence,req_development,req_int_gp,req_str_gp,req_dex_gp,req_tgh_gp,req_wis_gp,req_med_gp,req_sth_gp,req_per_gp,req_dodge_cp,req_block_cp,req_mma_cp,req_finesse_cp,req_crude_cp,req_archery_cp,req_firearms_cp,req_thrown_cp,req_bite_cp,req_claw_cp,req_swipe_cp,req_sting_cp,mod_ms_cap,mod_gp_cap,mod_cp_cap,mod_composure,mod_stamina,mod_ms,mod_evasion,mod_protection,mod_wrestling,mod_total_hp_incr,mod_body_phys_res,mod_body_elem_res,mod_int_gp,mod_str_gp,mod_dex_gp,mod_tgh_gp,mod_wis_gp,mod_med_gp,mod_sth_gp,mod_per_gp,mod_dodge_cp,mod_block_cp,mod_mma_cp,mod_finesse_cp,mod_crude_cp,mod_archery_cp,mod_firearms_cp,mod_thrown_cp,mod_bite_cp,mod_claw_cp,mod_swipe_cp,mod_sting_cp,mod_eq_phys_res,mod_eq_elem_res,mod_weight,mod_ease,com_base_dmg,com_dmg_var,com_dmg_type,com_range_config,com_att_rat,com_armor_pen,com_reload_cycle,com_aoe,com_block_rat,com_quick_act,com_two_hand,com_rel_cp
small_shield,1,,,Small shield,,,,,,,,2,2,3,2,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,1,1,0,,,1,1,,,crude
club,1,,"(concussive, 1)",Club,,,,,,,,2,1,3,2,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,1,1,-1,,,1,,,1,crude
bone_shiv,1,,,Bone shiv,,,,,,,,2,2,2,3,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2,1,1,0,,,1,,,,crude
blow_dart,1,,"(collapse, 1)",Blow dart,,,,,,,,2,4,1,3,1,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,0,,,1,,,1,thrown
giant_club,1,,"(concussive, 1)",Giant club,,,,,,,,2,1,4,2,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,8,1,1,-1,,,1,,,1,crude
pelt,1,,,Pelt,,,,,,,,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,,,,,,,,All
heavy_pelt,1,,,Heavy Pelt,,,,,,,,2,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,,,,,,,,,,,,,Torso/Legs
slingshot,1,,"(concussive, 1)",Slingshot,,,,,,,,3,3,3,3,2,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4,1,1,-1,,,1,,,1,archery
battle_chain,1,,"(concussive, 1)",Battle chain,,,,,,,,3,3,5,3,4,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,8,1,,-2,,,,,,1,crude
dagger,1,,,Dagger,,,,,,,,3,2,1,3,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,1,1,0,,,1,,,,finesse
hatchet,1,throw_weapon,,Hatchet,,,,,,,,3,2,3,2,2,,,,1,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4,1,1,0,,,1,,,,crude
bola,1,throw_weapon,"(immobilzing, 2)",Bola,,,,,,,,3,3,2,4,1,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,1,,,1,,,,thrown
net,1,throw_weapon,"(grappling, 2)",Net,,,,,,,,3,3,3,4,1,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,0,,,1,,,1,thrown
mace,1,,"(concussive, 1)",Mace,,,,,,,,3,2,4,2,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,6,1,1,-1,,,1,,,,crude
axe,1,,,Axe,,,,,,,,3,2,3,3,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,8,1,1,0,,,1,,,,crude
short_bow,1,,,Short bow,,,,,,,,3,3,3,3,2,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,6,1,,0,,,1,,,1,archery
light_leather,1,,,Light leather,,,,,,,,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,,,,,,,,,Arms/Head
leather,1,,,Leather,,,,,,,,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,,,,,,,,,,,,,,ALL
javelin,1,throw_weapon,,Javelin,,,,,,,,4,3,3,4,1,,,,1,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,6,1,1,0,1,,1,,,,thrown
whip,1,double_shot,,Whip,,,,,,,,4,3,3,4,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,6,1,,0,,,1,,,,finesse
clever,1,,"(bleed, 1)",Clever,,,,,,,,4,2,2,2,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4,1,1,0,,,1,,,,crude
