Name,Value
mod_ms_cap,4
mod_gp_cap,4
mod_cp_cap,4
mod_composureposure,5
mod_staminamina,2
mod_ms,10
mod_evasion,6
mod_protection,6
mod_wrestling,4
mod_total_hp_incr,1
mod_body_phys_res,10
mod_body_elem_res,10
mod_eq_phys_res,1
mod_eq_elem_res,1
mod_weight,10
mod_ease,10
mod_int_gp,2
mod_str_gp,2
mod_dex_gp,2
mod_tgh_gp,2
mod_wis_gp,1
mod_med_gp,2
mod_sth_gp,2
mod_per_gp,2
mod_dodge_cp,4
mod_block_cp,4
mod_mma_cp,4
mod_finesse_cp,4
mod_crude_cp,4
mod_archery_cp,4
mod_firearms_cp,4
mod_thrown_cp,4
mod_bite_cp,4
mod_claw_cp,4
mod_swipe_cp,4
mod_sting_cp,4
